table_name,model_id,split,bucket,total,bad,good,bad_rate,cum_bad,cum_total,cum_bad_pct,cum_total_pct,lift
lift,WLOG005,train,"(0.149, 0.946]",10161,3670,6491,0.3611849227438244,3670,10161,0.5238367113902369,0.0971665726334713,5.391120600355403
lift,WLOG005,train,"(0.0789, 0.149]",10614,1204,9410,0.1134350857358206,4874,20775,0.6956894090779332,0.1986650473831677,3.5018208700604916
lift,WLOG005,train,"(0.052, 0.0789]",9503,698,8805,0.0734504893191623,5572,30278,0.795318298601199,0.2895393648456102,2.746839964318091
lift,WLOG005,train,"(0.0361, 0.052]",10256,488,9768,0.047581903276131,6060,40534,0.8649728803882386,0.3876143937727712,2.2315293092425934
lift,WLOG005,train,"(0.0279, 0.0361]",10412,314,10098,0.030157510564733,6374,50946,0.909791607193834,0.4871812035611487,1.8674604039390883
lift,WLOG005,train,"(0.0214, 0.0279]",10795,233,10562,0.0215840666975451,6607,61741,0.9430488153011704,0.5904105266177694,1.59727642510632
lift,WLOG005,train,"(0.0182, 0.0214]",9714,127,9587,0.0130739139386452,6734,71455,0.96117613474165,0.6833025733219856,1.406662541996201
lift,WLOG005,train,"(0.0146, 0.0182]",9756,107,9649,0.0109676096760967,6841,81211,0.976448758207251,0.7765962533349908,1.2573441527872684
lift,WLOG005,train,"(0.0111, 0.0146]",11283,97,11186,0.0085970043428166,6938,92494,0.9902940336854124,0.8844921729318276,1.119618764293734
lift,WLOG005,train,"(0.0081, 0.0111]",12079,68,12011,0.0056296050997599,7006,104573,1.0,1.0,1.0
lift,WLOG005,validation,"(0.149, 0.94]",4359,1604,2755,0.3679743060334939,1604,4359,0.5341325341325341,0.0972621996117544,5.491676481353013
lift,WLOG005,validation,"(0.0789, 0.149]",4535,544,3991,0.1199558985667034,2148,8894,0.7152847152847153,0.1984514804650021,3.604330457040149
lift,WLOG005,validation,"(0.052, 0.0789]",4181,266,3915,0.0636211432671609,2414,13075,0.8038628038628038,0.2917419729120646,2.7553896199402894
lift,WLOG005,validation,"(0.0361, 0.052]",4411,194,4217,0.0439809566991611,2608,17486,0.8684648684648685,0.3901644465269875,2.225894430400893
