table_name,model_id,split,predicted_prob,actual_rate,bin,count
calibration,RLOG006,train,0.0264754416827693,0.0222795945687511,5,
calibration,RLOG006,train,0.0347375170636243,0.0361480348092187,6,
calibration,RLOG006,train,0.0506762042344217,0.0560390169264607,7,
calibration,RLOG006,train,0.0834514386450639,0.0929520895094195,8,
calibration,RLOG006,train,0.1425238306415001,0.1280481973797456,9,
calibration,RLOG006,train,0.2717004635784005,0.2767259514247466,10,
calibration,RLOG006,validation,0.0096704457347742,0.0124944221329763,1,
calibration,RLOG006,validation,0.0142578045295744,0.0122713074520303,2,
calibration,RLOG006,validation,0.0178135878790668,0.009819236777505,3,
calibration,RLOG006,validation,0.0214714308371552,0.0167336010709504,4,
calibration,RLOG006,validation,0.0264843709913922,0.0278893351182507,5,
calibration,RLOG006,validation,0.0348676072080965,0.0397232760544521,6,
calibration,RLOG006,validation,0.0509328649936418,0.0526550647032574,7,
calibration,RLOG006,validation,0.0844183989476335,0.0883731309975452,8,
calibration,RLOG006,validation,0.1435150747492755,0.1260597947344935,9,
calibration,RLOG006,validation,0.2711811719750744,0.2840249888442659,10,
calibration,RLOG007,train,0.0093956912716014,0.0113788487282463,1,
calibration,RLOG007,train,0.0140287488519473,0.0127187529884288,2,
calibration,RLOG007,train,0.0176164599041904,0.0161614229702591,3,
calibration,RLOG007,train,0.0212819744119198,0.0176914985177393,4,
calibration,RLOG007,train,0.0261910534126206,0.0221839739912029,5,
calibration,RLOG007,train,0.0343180653256208,0.0359567753657836,6,
calibration,RLOG007,train,0.0499389805024717,0.0570909438653533,7,
calibration,RLOG007,train,0.082121036459462,0.0918045328488094,8,
calibration,RLOG007,train,0.140820447435243,0.127187529884288,9,
calibration,RLOG007,train,0.2745455660041646,0.2777777777777778,10,
calibration,RLOG007,validation,0.0093572790287541,0.0129406514948683,1,
calibration,RLOG007,validation,0.0139822340406351,0.0118250780901383,2,
calibration,RLOG007,validation,0.0175467601669366,0.0111582236108011,3,
calibration,RLOG007,validation,0.0212162888144309,0.0167336010709504,4,
calibration,RLOG007,validation,0.0261966105672825,0.0274431057563587,5,
calibration,RLOG007,validation,0.0344506959071001,0.0383842892211559,6,
calibration,RLOG007,validation,0.0501998030433588,0.0531012940651494,7,
calibration,RLOG007,validation,0.083120087151647,0.0874804731086811,8,
calibration,RLOG007,validation,0.1418462133402397,0.1256135653726015,9,
calibration,RLOG007,validation,0.2740684652806415,0.2853636769299419,10,
calibration,RLOG008,train,0.0093600040747781,0.0113788487282463,1,
calibration,RLOG008,train,0.014000172334281,0.0128143827101463,2,
calibration,RLOG008,train,0.0175899762540947,0.0160657932485416,3,
calibration,RLOG008,train,0.0212592091616587,0.0175002390743042,4,
calibration,RLOG008,train,0.0261665361513127,0.022566456301396,5,
calibration,RLOG008,train,0.0342762912179768,0.0357655159223486,6,
calibration,RLOG008,train,0.0498570377587269,0.0570909438653533,7,
calibration,RLOG008,train,0.0819650989102082,0.0917089031270919,8,
calibration,RLOG008,train,0.1406161795764909,0.1276656784928755,9,
calibration,RLOG008,train,0.2748921884559384,0.2773952954675846,10,
calibration,RLOG008,validation,0.0093209644545395,0.0133868808567603,1,
calibration,RLOG008,validation,0.013953473327476,0.0116019634091923,2,
calibration,RLOG008,validation,0.0175205268105342,0.0109350591385851,3,
calibration,RLOG008,validation,0.0211931796094092,0.0169567157518964,4,
calibration,RLOG008,validation,0.0261721466681905,0.0272199910754127,5,
calibration,RLOG008,validation,0.034409835129985,0.038607453693372,6,
calibration,RLOG008,validation,0.0501171888783999,0.0528781793842034,7,
calibration,RLOG008,validation,0.082967532741739,0.0874804731086811,8,
calibration,RLOG008,validation,0.1416463544216511,0.1247211066488175,9,
calibration,RLOG008,validation,0.2744229705144465,0.286256135653726,10,
calibration,GNB001,train,7.350455666159566e-07,0.0214190093708166,1,
