model_id,split,mean_abs_calibration_error,max_abs_calibration_error,mean_squared_calibration_error
ET003,train,0.023439595965255584,0.11719345058385,0.001544588432888816
ET003,validation,0.024007609111627474,0.11966223347298022,0.0016064757452921956
ET004,train,0.02327651522161473,0.11637859883598528,0.0015381653847559523
ET004,validation,0.02367421928758392,0.1166199785852729,0.0015500252345925808
ET005,train,0.3032898929772766,0.5638803999740541,0.11318794656704256
ET005,validation,0.3036367512737024,0.5610657553394054,0.11351632605666781
GB001,train,0.0035236534278213034,0.01005634028700253,1.9947484588608075e-05
GB001,validation,0.0028515530241208474,0.0065625337814381735,1.1682782389286695e-05
GB002,train,0.004551893710212472,0.017858111046490932,4.224050791810223e-05
GB002,validation,0.0032406711507980217,0.007552224671167201,1.665622097228376e-05
GB003,train,0.0032971501275287584,0.009852812146960988,1.7378993221155876e-05
GB003,validation,0.002386668071066098,0.005362837533934683,8.541144356591928e-06
GB004,train,0.0033503266247860387,0.009370554269157783,1.799546997136622e-05
GB004,validation,0.0030597078706370807,0.007103198026203794,1.4130315635193965e-05
GNB001,train,0.041590379114236034,0.1219850044633291,0.002799884151392867
GNB001,validation,0.04195851405487275,0.12001713613800749,0.002725762329820546
GNB002,train,0.036866445299499284,0.0872228229850768,0.001909822537624515
GNB002,validation,0.03676176694765063,0.08768420630875491,0.0019077325700656157
GNB003,train,0.02797773705541089,0.0605993484168661,0.0009376723326885077
GNB003,validation,0.027888137812213033,0.0594663666617377,0.0009127501757175688
GNB004,train,0.03030868351631938,0.0572794439028728,0.0010530181408593994
GNB004,validation,0.03021426366532748,0.0572443766751427,0.0010306164739796767
GNB005,train,0.02967485960018761,0.060907220140948,0.0010329105185642987
GNB005,validation,0.02965223563908161,0.06109357747806019,0.0010165531240624644
GNB006,train,0.027576629341871432,0.057368348777927805,0.0008900128012853771
GNB006,validation,0.02774189105001511,0.059754800880377504,0.000895704544753144
GNB007,train,0.0410723695979899,0.0988514726542066,0.0025137618416606567
GNB007,validation,0.040905340796921826,0.09424044562049749,0.0024527739567067443
GNB008,train,0.03747268343731335,0.1023093800252245,0.0021091968794448484
GNB008,validation,0.03638709845667043,0.09554858615483669,0.0019362996788270547
GNB009,train,0.04264690701800041,0.11093207414792441,0.002751490689464506
GNB009,validation,0.042643254167764474,0.1089463927808837,0.002704127279921989
GNB010,train,0.045857313983389145,0.1191494595440301,0.0033002698662003135
GNB010,validation,0.045782515468394076,0.11766781273149379,0.0032331326508450676
LASSOSTACK001,train,0.01021915220023047,0.020999048225565496,0.0001337587836028837
LASSOSTACK001,validation,0.01157153131343721,0.027944095061017506,0.0001815191771252801
LGB001,train,0.00423869020269174,0.01772057704666491,3.966682873913703e-05
LGB001,validation,0.002003277716863772,0.005340271200355802,6.7817310488366345e-06
LGB002,train,0.006755901443393626,0.03334437582500477,0.0001258135664968877
LGB002,validation,0.0012199663917150994,0.0029796832931301004,2.197256774253735e-06
