model_id,split,risk_band,applicant_count,default_count,actual_default_rate,min_pd,mean_pd,max_pd,min_percentile,max_percentile,total_applicants,applicant_pct
GNB010,train,High Risk,31372,1701,0.054220323855667475,0.0002230333753421,0.0013385885421423865,0.006245004213205,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
GNB010,train,Very High Risk,15686,2490,0.1587402779548642,0.0062450910148893,0.036924137825123195,0.1012037630183846,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
GNB010,train,Extreme Risk,5229,1827,0.3493975903614458,0.1012130132790812,0.3032759401617538,0.999999,0.9500062157535885,0.9979153318734282,104573,0.050003346944239906
GNB010,validation,Low Risk,8963,143,0.015954479526944104,1e-06,8.554238359469706e-06,2.831539594616392e-05,0.027980453845638933,0.19999107481536024,44817,0.19999107481536024
GNB010,validation,Medium Risk,13445,283,0.02104871699516549,2.8320742376886086e-05,0.00010781558542240647,0.0002207876905157,0.20001338777695962,0.4999888435192003,44817,0.29999776870384004
GNB010,validation,High Risk,13445,728,0.05414652287095575,0.0002208513038772,0.0013798115926300578,0.0065002398243296,0.5000111564807997,0.7999866122230403,44817,0.29999776870384004
GNB010,validation,Very High Risk,6723,1046,0.1555853041796817,0.0065046590370862,0.03517429095089368,0.097553016996889,0.8000089251846397,0.9499854965749603,44817,0.15001004083271974
GNB010,validation,Extreme Risk,2241,803,0.35832217759928603,0.0976074658289321,0.30995268730713155,0.999999,0.9500189660173595,0.997757547359261,44817,0.050003346944239906
LASSOSTACK001,train,Low Risk,20914,91,0.004351152338146696,0.0168166568075494,0.01763565650098746,0.0180303706196231,9.562697828311323e-06,0.19999426238130302,104573,0.19999426238130302
LASSOSTACK001,train,Medium Risk,31372,416,0.013260232054060945,0.0180304715876258,0.019187925890796265,0.0211913788749252,0.20000382507913134,0.49999521865108587,104573,0.30000095626978285
LASSOSTACK001,train,High Risk,31372,1427,0.04548642101236772,0.0211917657034344,0.032126089754150704,0.0626830422743356,0.5000047813489141,0.7999961749208687,104573,0.30000095626978285
LASSOSTACK001,train,Very High Risk,15686,2346,0.1495601173020528,0.0626874786798641,0.14285024206588656,0.3231096786052095,0.800005737618697,0.9499966530557601,104573,0.15000047813489142
LASSOSTACK001,train,Extreme Risk,5229,2726,0.5213233887932683,0.3231545350545466,0.5348242294006413,0.973705845656322,0.9500062157535885,1.0,104573,0.050003346944239906
