model_id,split,count,mean,std,min,max,p01,p05,p25,p50,p75,p95,p99
NN012,train,104573,0.07132211850879056,0.1190771332728138,1e-06,0.8986612769071702,0.005438510652293116,0.00678680473415312,0.0122661221077266,0.0248000314546874,0.0722624359795059,0.3240659511221509,0.6283952026424532
NN012,validation,44817,0.07159380364770226,0.11907503694502912,1e-06,0.8945373752848558,0.005415808242071636,0.006769223273318281,0.0122598684988197,0.0247415219909048,0.0731148295212309,0.32703429047843385,0.6297021582921604
NN013,train,104573,0.06491076700210158,0.11084774756090254,1e-06,0.9184275375439572,0.005690799461625896,0.00722580894552864,0.0120384873192932,0.0225093357073581,0.0633651326520535,0.29906994890895916,0.5929210665464294
NN013,validation,44817,0.06517737912962253,0.1108334282769911,1e-06,0.8783370538210115,0.005747343841343972,0.00723922390523324,0.0119912078637257,0.0224488313422189,0.0638595297094224,0.30359878880267077,0.591061119968708
NN014,train,104573,0.06586132519999499,0.11190095797350065,0.0058596838832648,0.8898823195325609,0.0070121726903074,0.00741326817439916,0.011314424103852,0.0215755096174763,0.0674812158679832,0.3145480141861843,0.5877441428780402
NN014,validation,44817,0.06601411290944126,0.11195284887683316,0.0057565726819741,0.8535634497219386,0.00700963135067198,0.0074160152166603596,0.0112581320371988,0.0214981141292693,0.0673876893404407,0.31919300588582256,0.5819577542795948
NN015,train,104573,0.0719681392554618,0.11827523392716692,0.0066222747789186,0.8713677496267526,0.0067117629689285,0.00716740959737028,0.0118819194976422,0.0237583953779056,0.0743313316224077,0.3553499330881585,0.603788037089233
NN015,validation,44817,0.07217882262005229,0.11842966835313347,0.0066222747789186,0.8291388716325863,0.0067233505030345475,0.00717677010492046,0.0118544368849191,0.0236847934214222,0.0744150381206632,0.3598263210706251,0.6032312819712353
NN016,train,104573,0.07134751980014818,0.11738318556921265,0.0028616791517946,0.8878446352800935,0.006398187449124572,0.00830290486096724,0.0139684855115886,0.0250560028320656,0.0738280574720216,0.3158179907094064,0.6177244310318646
NN016,validation,44817,0.0717026047749741,0.11777115019800068,0.0025273740445707,0.870713212520268,0.0063857837614832,0.008305145486912779,0.0138790325970667,0.0250747641461273,0.0743552199408821,0.3212644031032041,0.6204344408508907
